Type in new values of b0 and b1 (the highlighted cells) to view changes in the graph.						
		Model 1	Model 2	Model 3		
	b0	-5	-4	-10		
	b1	0.1	0.20	0.2		
						
X	Model 1	Model 2	Model 3		Model 1 odds	
0	0.01	0.02	0.00		0.01	
1	0.01	0.02	0.00		0.01	
2	0.01	0.03	0.00		0.01	
3	0.01	0.03	0.00		0.01	
4	0.01	0.04	0.00		0.01	
5	0.01	0.05	0.00		0.01	
6	0.01	0.06	0.00		0.01	
7	0.01	0.07	0.00		0.01	
8	0.01	0.08	0.00		0.01	
9	0.02	0.10	0.00		0.02	
10	0.02	0.12	0.00		0.02	
11	0.02	0.14	0.00		0.02	
12	0.02	0.17	0.00		0.02	
13	0.02	0.20	0.00		0.02	
14	0.03	0.23	0.00		0.03	
15	0.03	0.27	0.00		0.03	
16	0.03	0.31	0.00		0.03	
17	0.04	0.35	0.00		0.04	
18	0.04	0.40	0.00		0.04	
19	0.04	0.45	0.00		0.05	
20	0.05	0.50	0.00		0.05	
21	0.05	0.55	0.00		0.06	
22	0.06	0.60	0.00		0.06	
23	0.06	0.65	0.00		0.07	
24	0.07	0.69	0.01		0.07	
25	0.08	0.73	0.01		0.08	
26	0.08	0.77	0.01		0.09	
27	0.09	0.80	0.01		0.10	
28	0.10	0.83	0.01		0.11	
29	0.11	0.86	0.01		0.12	
30	0.12	0.88	0.02		0.14	
31	0.13	0.90	0.02		0.00	
32	0.14	0.92	0.03		0.00	
33	0.15	0.93	0.03		0.00	
34	0.17	0.94	0.04		0.00	
35	0.18	0.95	0.05		0.00	
36	0.20	0.96	0.06		0.00	
37	0.21	0.97	0.07		0.00	
38	0.23	0.97	0.08		0.00	
39	0.25	0.98	0.10		0.00	
40	0.27	0.98	0.12		0.00	
41	0.29	0.99	0.14		0.00	
42	0.31	0.99	0.17		0.01	
43	0.33	0.99	0.20		0.01	
44	0.35	0.99	0.23		0.01	
45	0.38	0.99	0.27		0.01	
46	0.40	0.99	0.31		0.01	
47	0.43	1.00	0.35		0.02	
48	0.45	1.00	0.40		0.02	
49	0.48	1.00	0.45		0.03	
50	0.50	1.00	0.50		0.03	
51	0.52	1.00	0.55		0.04	
52	0.55	1.00	0.60		0.05	
53	0.57	1.00	0.65		0.06	
54	0.60	1.00	0.69		0.08	
55	0.62	1.00	0.73		0.10	
56	0.65	1.00	0.77		0.13	
57	0.67	1.00	0.80		0.16	
58	0.69	1.00	0.83		0.21	
59	0.71	1.00	0.86		0.26	
60	0.73	1.00	0.88		0.33	
61	0.75	1.00	0.90		0.41	
62	0.77	1.00	0.92		0.52	
63	0.79	1.00	0.93		0.66	
64	0.80	1.00	0.94		0.83	
65	0.82	1.00	0.95		1.05	
66	0.83	1.00	0.96		1.32	
67	0.85	1.00	0.97		1.67	
68	0.86	1.00	0.97		2.10	
69	0.87	1.00	0.98		2.65	
70	0.88	1.00	0.98		3.35	
71	0.89	1.00	0.99		4.22	
72	0.90	1.00	0.99		5.33	
73	0.91	1.00	0.99		6.72	
74	0.92	1.00	0.99		8.48	
75	0.92	1.00	0.99		10.69	
76	0.93	1.00	0.99		13.48	
77	0.94	1.00	1.00		17.01	
78	0.94	1.00	1.00		21.45	
79	0.95	1.00	1.00		27.06	
80	0.95	1.00	1.00		34.13	
81	0.96	1.00	1.00		43.05	
82	0.96	1.00	1.00		54.30	
83	0.96	1.00	1.00		68.49	
84	0.97	1.00	1.00		86.38	
85	0.97	1.00	1.00		108.96	
86	0.97	1.00	1.00		137.43	
87	0.98	1.00	1.00		173.34	
88	0.98	1.00	1.00		218.64	
89	0.98	1.00	1.00		275.78	
90	0.98	1.00	1.00		347.85	
91	0.98	1.00	1.00		438.75	
92	0.99	1.00	1.00		553.41	
93	0.99	1.00	1.00		698.03	
94	0.99	1.00	1.00		880.44	
95	0.99	1.00	1.00		1110.52	
96	0.99	1.00	1.00		1400.73	
97	0.99	1.00	1.00		1766.77	
98	0.99	1.00	1.00		2228.48	
99	0.99	1.00	1.00		2810.84	
